Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;MS;CAMPO GRANDE;AUTO POSTO SIRIUS LTDA; 01.195.522/0001-59;RUA VITORIO ZEOLLA;2222;;CARANDA BOSQUE II;79032-360;ETANOL;03/10/2022;3,35;;R$ / litro;BRANCA
CO;MS;CAMPO GRANDE;AUTO POSTO SIRIUS LTDA; 01.195.522/0001-59;RUA VITORIO ZEOLLA;2222;;CARANDA BOSQUE II;79032-360;GASOLINA ADITIVADA;03/10/2022;4,79;;R$ / litro;BRANCA
CO;MT;CUIABA;REDE DE POSTOS SANTA MARIA LTDA; 01.418.827/0002-63;AVENIDA XV DE NOVEMBRO;30;;PORTO;78015-285;GASOLINA;03/10/2022;4,67;;R$ / litro;BRANCA
CO;MT;CUIABA;REDE DE POSTOS SANTA MARIA LTDA; 01.418.827/0002-63;AVENIDA XV DE NOVEMBRO;30;;PORTO;78015-285;ETANOL;03/10/2022;2,87;;R$ / litro;BRANCA
CO;MT;CUIABA;REDE DE POSTOS SANTA MARIA LTDA; 01.418.827/0002-63;AVENIDA XV DE NOVEMBRO;30;;PORTO;78015-285;GASOLINA ADITIVADA;03/10/2022;4,67;;R$ / litro;BRANCA
CO;MT;CUIABA;RIBEIRO MIGUEL SUTIL AUTO POSTO LTDA; 04.223.550/0001-20;AVENIDA MIGUEL SUTIL;S/N;ESQ. C/TRAV. JOAO BENTO;DUQUE DE CAXIAS;78000-000;GASOLINA;03/10/2022;4,89;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;RIBEIRO MIGUEL SUTIL AUTO POSTO LTDA; 04.223.550/0001-20;AVENIDA MIGUEL SUTIL;S/N;ESQ. C/TRAV. JOAO BENTO;DUQUE DE CAXIAS;78000-000;ETANOL;03/10/2022;2,99;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;RIBEIRO MIGUEL SUTIL AUTO POSTO LTDA; 04.223.550/0001-20;AVENIDA MIGUEL SUTIL;S/N;ESQ. C/TRAV. JOAO BENTO;DUQUE DE CAXIAS;78000-000;GASOLINA ADITIVADA;03/10/2022;5,05;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;PARADISE AUTO POSTO CUIABA LTDA; 03.207.363/0001-90;RUA BARAO DE MELGACO;1029;ESQ C/ AV 8 DE ABRIL;PORTO;78025-300;GASOLINA;03/10/2022;4,89;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;PARADISE AUTO POSTO CUIABA LTDA; 03.207.363/0001-90;RUA BARAO DE MELGACO;1029;ESQ C/ AV 8 DE ABRIL;PORTO;78025-300;ETANOL;03/10/2022;2,99;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;SAO MATHEUS CUIABA AUTO POSTO LTDA; 02.511.723/0001-80;RODOVIA BR 364;S/N;KM 401;DISTRITO INDUSTRIAL;78015-285;GASOLINA;03/10/2022;4,99;;R$ / litro;RAIZEN
CO;MT;CUIABA;SAO MATHEUS CUIABA AUTO POSTO LTDA; 02.511.723/0001-80;RODOVIA BR 364;S/N;KM 401;DISTRITO INDUSTRIAL;78015-285;ETANOL;03/10/2022;2,99;;R$ / litro;RAIZEN
CO;MT;CUIABA;TRANSGANSO COMERCIO E TRANSPORTES LTDA.; 02.350.920/0001-65;AVENIDA MIGUEL SUTIL;12,295;;CIDADE ALTA;78030-000;GASOLINA;03/10/2022;4,65;;R$ / litro;BRANCA
CO;MT;CUIABA;TRANSGANSO COMERCIO E TRANSPORTES LTDA.; 02.350.920/0001-65;AVENIDA MIGUEL SUTIL;12,295;;CIDADE ALTA;78030-000;ETANOL;03/10/2022;2,97;;R$ / litro;BRANCA
CO;MT;CUIABA;POSTO RIBEIRINHO LTDA; 01.667.182/0001-11;AVENIDA MANOEL JOSE DE ARRUDA;3391;;COSTA DO SOL;78035-010;GASOLINA;03/10/2022;4,77;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;POSTO RIBEIRINHO LTDA; 01.667.182/0001-11;AVENIDA MANOEL JOSE DE ARRUDA;3391;;COSTA DO SOL;78035-010;ETANOL;03/10/2022;2,95;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;COMERCIAL DE COMBUSTIVEIS PROGRESSO LTDA; 01.629.395/0001-59;RUA MANOEL C PROENCA;350;C;GOIABEIRAS;78015-285;GASOLINA;03/10/2022;4,87;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;COMERCIAL DE COMBUSTIVEIS PROGRESSO LTDA; 01.629.395/0001-59;RUA MANOEL C PROENCA;350;C;GOIABEIRAS;78015-285;ETANOL;03/10/2022;2,95;;R$ / litro;VIBRA ENERGIA
CO;MT;CUIABA;PETROLSTYLL COMERCIO DE PETROLEO LTDA; 00.106.531/0001-63;PRACA 08 DE ABRIL;99;;GOIABEIRA;78020-810;GASOLINA;03/10/2022;4,65;;R$ / litro;BRANCA
CO;MT;CUIABA;PETROLSTYLL COMERCIO DE PETROLEO LTDA; 00.106.531/0001-63;PRACA 08 DE ABRIL;99;;GOIABEIRA;78020-810;ETANOL;03/10/2022;2,97;;R$ / litro;BRANCA
CO;MT;CUIABA;PETROLSTYLL COMERCIO DE PETROLEO LTDA; 00.106.531/0001-63;PRACA 08 DE ABRIL;99;;GOIABEIRA;78020-810;GASOLINA ADITIVADA;03/10/2022;4,65;;R$ / litro;BRANCA
